objectid,sector,time,location,source,cars,trucks,motorcycle,bicycle,publictransport,pedestrian,other,placename,photo,video,photo_link,video_link,day_night,raion,comuna,localitate,year,month,hour,weekday,day_part,location_trasee,street,tipul,cauza,decedati,traumati
1433,Rîşcani,10/10/2017 8:30,Strada Petricani 21,INP Info Trafic,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2017,10,8,1,ziua,,Strada Petricani,,,0,0
1434,Rîşcani,10/18/2017 14:00,Strada Petricani 21,INP Info Trafic,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2017,10,14,2,ziua,,Strada Petricani,,,0,0
1435,Rîşcani,1/18/2018 12:15,Strada Petricani 21,INP Info Trafic,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2018,1,12,3,ziua,,Strada Petricani,,,0,0
1436,Rîşcani,12/25/2018 12:00, , ,0,0,0,0,0,0,0, , , ,,,0,,,,2018,10,0,0,,,,,,0,0
1437,Rîşcani,9/4/2017 5:00,Strada Alexandr Puşkin,protv.md,1,1,0,0,0,0,0,Chişinău,http://images.protv.md/articles/2017/09/04/1998781/img_2592021_thumbs_600x440_4526881.jpg,Lipseşte,http://protv.md/stiri/actualitate/dimineata-cu-ghinion-pentru-doi-soferi-dupa-ce-masinile-lor-au---1998781.html,,1,Chişinău,Chişinău,Chişinău,2017,9,5,0,noapte,,Strada Alexandr Pușkin,,,0,0
1438,Rîşcani,11/21/2017 15:15,Strada Ierusalim în apropiere de strada Alexander Puşkin,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2017,11,15,1,ziua,,Strada Ierusalim,,,0,0
1439,Rîşcani,10/12/2017 9:00,Strada Alexander Puşkin - Strada Ierusalim,INP Info Trafic,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2017,10,9,3,ziua,,Strada Ierusalim,,,0,0
1440,Rîşcani,12/22/2017 9:00,Strada Alexander Puşkin - Strada Ierusalim,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2017,12,9,4,ziua,,Strada Ierusalim,,,0,0
1441,Rîşcani,10/15/2017 7:00,StradaTimişoara,prime.md,1,0,0,0,0,0,0,Chişinău,https://i.simpalsmedia.com/point.md/news/370x220/0b4770f465cbc028ddd1b322100483e2.jpg,http://media.prime.md/video/201710/sofer-ghinionist_71810800.mp4,https://point.md/ro/noutati/auto/sofer-beat-cu-masina-in-gardul-inp-se-incurca-in-declaratii,http://media.prime.md/video/201710/sofer-ghinionist_71810800.mp4,0,Chişinău,Chişinău,Chişinău,2017,10,7,6,dimineata,,Strada Ecaterina Teodoriu,,,0,0
1442, ,12/25/2018 12:00, , ,0,0,0,0,0,0,0, , , ,,,0,,,,2018,4,0,0,,,,,,0,0
1443,Buiucani,11/12/2017 13:15,Strada Calea Ieşilor intrarea în Mun. Chişinău lîngă pod,fb: GBM,2,0,0,0,0,0,0,Chişinău,https://scontent-otp1-1.xx.fbcdn.net/v/t1.0-9/23559419_1472561632820958_653098090342670257_n.jpg?oh=53e00e89366ef3bac62f228afd096d8d&oe=5A627087,Lipseşte,https://www.facebook.com/groups/voditelipomogaiutpesehodam/permalink/1456346547752628/,,0,Chişinău,Chişinău,Chişinău,2017,11,13,6,ziua,Chişinău - Ungheni - frontiera cu România,,,,0,0
1444,Buiucani,11/27/2017 6:45,Strada Calea Ieşilor intrarea în Mun. Chişinău lîngă pod,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2017,11,6,0,dimineata,Chişinău - Ungheni - frontiera cu România,,,,0,0
1445,Rîşcani,1/30/2018 4:00,Strada Doina,publika.md,1,0,0,0,0,0,0,Chişinău,https://media.publika.md/md/image/201801/w720/accident-masina-pilon4_11477900.jpg,https://i.simpalsmedia.com/video/480p/eb859181-e4a9-4f79-af10-f18126884ad9.mp4,https://www.publika.md/beat-si-fara-permis-de-conducere-un-tanar-a-scapat-nevatamat-dupa-ce-a-doborat-cu-masina-un-stalp-foto_2993938_foto_5037723.html#gallery,https://point.md/ro/noutati/incidente/beat-si-fara-permis-de-conducere-a-doborat-cu-masina-un-stalp,1,Chişinău,Chişinău,Chişinău,2018,1,4,1,noapte,,Strada Doina,,,0,0
1446,Rîşcani,2/1/2018 8:13,str. Doina 84, ,0,0,0,0,0,0,0, , , ,,,0,Chişinău,Chişinău,Chişinău,2018,12,0,5,noapte,,Strada Doina,Tamponarea pietonilor angajati in traversare neregulamentara,Neacordarea prioritatii pietonilor,0,1
1447,Rîşcani,12/21/2017 12:15,Strada Petru Rareş - Strada Albişoara,Royal Map,2,0,0,0,0,0,0,Chişinău,https://i.imgur.com/hKTVE65.jpg,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2017,12,12,3,ziua,,Strada Albișoara,,,0,0
1448,Rîşcani,2/13/2018 14:30,Strada Albişoara - Strada Petru Rareş,Royal Map,2,0,0,0,0,0,0,Chişinău,https://i.imgur.com/Ryee0pM.jpg?1,Lipseşte,https://i.imgur.com/Ryee0pM.jpg?1,,0,Chişinău,Chişinău,Chişinău,2018,2,14,1,ziua,,Strada Albișoara,,,0,0
1449,Rîşcani,3/2/2018 6:30,"Strada Albişoara, în apropiere de Strada Petru Rareş",waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2018,3,6,4,dimineata,,Strada Albișoara,,,0,0
